source_opentripmap_id,location_name,normalized_name,city,country,category_raw,latitude,longitude,opentripmap_rate,popularity_score,source_wikidata_id,source_osm_id,data_source
Q27989396,Palazzo del Tritone,palazzo del tritone,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.90325164794922,12.487150192260742,7,7,Q27989396,,OpenTripMap
W338689254,Santissimo Redentore e Santa Francesca Saverio Cabrini,santissimo redentore e santa francesca saverio cabrini,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.909786224365234,12.496498107910156,3,3,Q3668661,way/338689254,OpenTripMap
W23502331,Casa dell'Architettura,casa dell'architettura,Rome,Italy,"palaces,architecture,historic_architecture,aquariums,cultural,museums,interesting_places",41.89771270751953,12.502917289733887,3,3,Q3604678,way/23502331,OpenTripMap
W52509644,Chiesa evangelica luterana,chiesa evangelica luterana,Rome,Italy,"religion,churches,interesting_places,other_churches",41.908973693847656,12.491705894470215,3,3,Q763543,way/52509644,OpenTripMap
N6860838603,Porta Nomentana,porta nomentana,Rome,Italy,"fortifications,defensive_walls,historic,interesting_places",41.90860366821289,12.5020751953125,3,3,Q644765,node/6860838603,OpenTripMap
Q3983285,Temple of Venus Erycina,temple of venus erycina,Rome,Italy,"historic,archaeology,interesting_places,other_archaeological_sites",41.909976959228516,12.496505737304688,3,3,Q3983285,,OpenTripMap
N3039065548,Teatro Sistina,teatro sistina,Rome,Italy,"cultural,cinemas,theatres_and_entertainments,interesting_places",41.90422058105469,12.486885070800781,3,3,Q3516773,node/3039065548,OpenTripMap
R2739193,Porta Pia,porta pia,Rome,Italy,"fortifications,defensive_walls,historic,archaeology,interesting_places,other_archaeological_sites",41.909202575683594,12.500992774963379,3,3,Q1338582,relation/2739193,OpenTripMap
Q60969558,Santa Francesca Romana a Strada Felice,santa francesca romana a strada felice,Rome,Italy,"religion,churches,interesting_places,other_churches",41.90430450439453,12.486832618713379,3,3,Q60969558,,OpenTripMap
N602095458,Museo Storico dei Bersaglieri,museo storico dei bersaglieri,Rome,Italy,"cultural,museums,interesting_places,history_museums",41.90926742553711,12.501078605651855,3,3,Q603939,node/602095458,OpenTripMap
Q3672979,Santa Chiara al Quirinale,santa chiara al quirinale,Rome,Italy,"religion,churches,interesting_places,other_churches",41.89957809448242,12.48749828338623,3,3,Q3672979,,OpenTripMap
